id,label,group,level,shape,color,font.size,font.color,node_type,product_id
P01,Garam Masala 250gm,Product,1,box,#2E8B57,16,white,BOM,P01
PK001,Primary Pouch,Packaging,3,box,NA,10,NA,BOM,P01
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P01
SF001,Garam Masala Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P01
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P01
RM002,Cumin Seeds,Raw Material,5,box,NA,10,NA,BOM,P01
RM003,Black Pepper,Raw Material,5,box,NA,10,NA,BOM,P01
RM004,Cinnamon Sticks,Raw Material,5,box,NA,10,NA,BOM,P01
RM005,Green Cardamom,Raw Material,5,box,NA,10,NA,BOM,P01
RM006,Bay Leaves,Raw Material,5,box,NA,10,NA,BOM,P01
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P01
BM002,Fresh Cumin Seeds,Base Material,7,box,NA,10,NA,BOM,P01
BM003,Fresh Black Peppercorns,Base Material,7,box,NA,10,NA,BOM,P01
R001,Spice Grinder A1,Resource,6,circle,#32CD32,10,black,Production,P01
R002,Blending Machine A1,Resource,4,circle,#32CD32,10,black,Production,P01
R003,Packaging Line A1,Resource,2,circle,#32CD32,10,black,Production,P01
P02,Sambar Powder 250gm,Product,1,box,#2E8B57,16,white,BOM,P02
PK001,Primary Pouch,Packaging,3,box,NA,10,NA,BOM,P02
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P02
SF002,Sambar Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P02
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P02
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P02
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P02
RM009,Fenugreek Seeds,Raw Material,5,box,NA,10,NA,BOM,P02
RM010,Asafoetida,Raw Material,5,box,NA,10,NA,BOM,P02
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P02
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P02
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P02
R004,Spice Grinder B1,Resource,6,circle,#32CD32,10,black,Production,P02
R005,Blending Machine B1,Resource,4,circle,#32CD32,10,black,Production,P02
R006,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P02
P03,Sambar Powder 500gm,Product,1,box,#2E8B57,16,white,BOM,P03
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P03
PK003,Medium Pouch,Packaging,3,box,NA,10,NA,BOM,P03
SF002,Sambar Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P03
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P03
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P03
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P03
RM009,Fenugreek Seeds,Raw Material,5,box,NA,10,NA,BOM,P03
RM010,Asafoetida,Raw Material,5,box,NA,10,NA,BOM,P03
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P03
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P03
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P03
R004,Spice Grinder B1,Resource,6,circle,#32CD32,10,black,Production,P03
R005,Blending Machine B1,Resource,4,circle,#32CD32,10,black,Production,P03
R006,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P03
P04,Sambar Powder 1kg,Product,1,box,#2E8B57,16,white,BOM,P04
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P04
PK004,Large Pouch,Packaging,3,box,NA,10,NA,BOM,P04
SF002,Sambar Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P04
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P04
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P04
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P04
RM009,Fenugreek Seeds,Raw Material,5,box,NA,10,NA,BOM,P04
RM010,Asafoetida,Raw Material,5,box,NA,10,NA,BOM,P04
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P04
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P04
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P04
R004,Spice Grinder B1,Resource,6,circle,#32CD32,10,black,Production,P04
R005,Blending Machine B1,Resource,4,circle,#32CD32,10,black,Production,P04
R006,Packaging Line B1,Resource,2,circle,#32CD32,10,black,Production,P04
P05,Sambar Powder 100gm,Product,1,box,#2E8B57,16,white,BOM,P05
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P05
PK005,Small Pouch,Packaging,3,box,NA,10,NA,BOM,P05
SF002,Sambar Powder Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P05
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P05
RM007,Red Chili Powder,Raw Material,5,box,NA,10,NA,BOM,P05
RM008,Turmeric Powder,Raw Material,5,box,NA,10,NA,BOM,P05
RM009,Fenugreek Seeds,Raw Material,5,box,NA,10,NA,BOM,P05
RM010,Asafoetida,Raw Material,5,box,NA,10,NA,BOM,P05
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P05
BM004,Fresh Red Chilies,Base Material,7,box,NA,10,NA,BOM,P05
BM005,Fresh Turmeric Roots,Base Material,7,box,NA,10,NA,BOM,P05
R007,Spice Grinder C1,Resource,6,circle,#32CD32,10,black,Production,P05
R008,Blending Machine C1,Resource,4,circle,#32CD32,10,black,Production,P05
R009,Packaging Line C1,Resource,2,circle,#32CD32,10,black,Production,P05
P06,Garam Masala 500gm,Product,1,box,#2E8B57,16,white,BOM,P06
PK002,Secondary Label,Packaging,3,box,NA,10,NA,BOM,P06
PK003,Medium Pouch,Packaging,3,box,NA,10,NA,BOM,P06
SF001,Garam Masala Base Mix,Semi-finished,3,ellipse,NA,10,NA,BOM,P06
RM001,Coriander Seeds,Raw Material,5,box,NA,10,NA,BOM,P06
RM002,Cumin Seeds,Raw Material,5,box,NA,10,NA,BOM,P06
RM003,Black Pepper,Raw Material,5,box,NA,10,NA,BOM,P06
RM004,Cinnamon Sticks,Raw Material,5,box,NA,10,NA,BOM,P06
RM005,Green Cardamom,Raw Material,5,box,NA,10,NA,BOM,P06
RM006,Bay Leaves,Raw Material,5,box,NA,10,NA,BOM,P06
BM001,Fresh Coriander Seeds,Base Material,7,box,NA,10,NA,BOM,P06
BM002,Fresh Cumin Seeds,Base Material,7,box,NA,10,NA,BOM,P06
BM003,Fresh Black Peppercorns,Base Material,7,box,NA,10,NA,BOM,P06
R001,Spice Grinder A1,Resource,6,circle,#32CD32,10,black,Production,P06
R002,Blending Machine A1,Resource,4,circle,#32CD32,10,black,Production,P06
