product_id,type,item_no,item_name,29/06/25,06/07/25,13/07/25,20/07/25,27/07/25,03/08/25,10/08/25,17/08/25,24/08/25,31/08/25,07/09/25,14/09/25,21/09/25,28/09/25,05/10/25,12/10/25,19/10/25,26/10/25,02/11/25,09/11/25,16/11/25,23/11/25,30/11/25,07/12/25,14/12/25,21/12/25,28/12/25,04/01/26,11/01/26,18/01/26,25/01/26,01/02/26,08/02/26,15/02/26,22/02/26,01/03/26,08/03/26,15/03/26,22/03/26,29/03/26,05/04/26,12/04/26,19/04/26,26/04/26,03/05/26,10/05/26,17/05/26,24/05/26,31/05/26,07/06/26,14/06/26,21/06/26
P01,Capacity Constraints in Hours,R001,Spice Grinder A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11,Capacity Constraints in Hours,R001,Spice Grinder A1,0,0,0,0,0,0,-9.531316397228629,0,0,0,0,-1.991316397228637,0,0,0,0,0,-16.311316397228623,0,-3.3513163972286293,0,0,-6.61131639722862,0,-18.031316397228636,-8.95131639722863,0,0,-6.851316397228629,0,0,0,0,0,0,0,-0.41131639722863156,0,0,0,0,0,0,0,0,0,0,0,-18.171316397228637,0,0,0
P06,Capacity Constraints in Hours,R001,Spice Grinder A1,-24.911316397228624,-12.131316397228638,-15.671316397228637,-8.831316397228633,-30.431316397228635,-27.591316397228624,-38.48,-28.231316397228632,-29.271316397228645,-27.09131639722863,-39.511316397228626,-40.52,-33.69131639722864,-30.51131639722862,-27.81131639722863,-41.45131639722864,-32.311316397228616,-38.04,-30.391316397228614,-39.58,-20.85131639722863,-23.99131639722863,-44.08,-29.75131639722862,-36.36,-37.82,-28.05131639722864,-28.051316397228646,-34.58,-24.551316397228632,-18.37131639722864,-31.411316397228653,-19.151316397228626,-22.731316397228625,-2.011316397228633,-5.511316397228633,-37.84,-17.29131639722864,-26.191316397228633,-15.831316397228633,-15.811316397228623,-15.771316397228638,-14.871316397228618,-14.911316397228639,-17.511316397228633,-10.971316397228627,-24.611316397228634,-11.031316397228636,-34.7,-24.71131639722863,-34.69131639722864,-31.931316397228642
P12,Capacity Constraints in Hours,R001,Spice Grinder A1,-54.8,-53.76,-61.12,-54.28,-63.2,-60.6,-63.32,-68.18,-60.44,-63.64,-69.5,-64.66,-69.48,-64.6,-79.2,-72.56,-68.52,-75,-81.58,-65,-69.08,-65.5,-77.06,-66.58,-72.18,-68.02,-79.36,-62,-71.06,-56.22,-61.16,-58.82,-55.22,-58.24,-59.48,-60,-61.22,-55.96,-60.56,-61.04,-53.18,-53.16,-64.9,-64.86,-65.8,-64.56,-70.1,-67.62,-69.88,-65.6,-86.62,-75.68
P08,Capacity Constraints in Hours,R001,Spice Grinder A1,-72.48,-51.2,-55.28,-55.52,-56.4,-65.6,-72.56,-65.1,-68.58,-64.14,-54.1,-61.66,-62.08,-75.5,-52.46,-58.72,-72.34,-55.6,-55.34,-58.8,-61.3,-56.58,-75.42,-62,-58.64,-65.28,-77.06,-61.44,-71.42,-57.2,-71.82,-69.58,-56.72,-55.76,-58.46,-67.36,-71.8,-56.04,-65.74,-69.46,-58.32,-62.82,-71.72,-60.3,-59.36,-65.64,-78.56,-57.32,-63.54,-63.76,-68.68,-74.64
P13,Capacity Constraints in Hours,R001,Spice Grinder A1,-59.36,-76.58,-74.4,-59.24,-46.74,-65.24,-58.54,-73.8,-79.2,-52.3,-75.1,-82.48,-71.62,-63.68,-76.1,-71.84,-59.82,-67.78,-61.18,-64.04,-50.36,-64.82,-54.72,-56.66,-75.38,-78.04,-58.38,-56.88,-52.26,-52.12,-51.7,-49.46,-53.44,-49.52,-45.44,-47.6,-50.5,-52.4,-56.92,-50.84,-43.02,-53.16,-44.44,-42.84,-43.2,-69.2,-49.98,-48.48,-45.36,-54.88,-55.8,-64.4
P15,Capacity Constraints in Hours,R001,Spice Grinder A1,-36.26,-47.88,-38.82,-48.6,-41.66,-42.14,-46.16,-46.34,-43.14,-44.48,-37.18,-47.6,-42.24,-52.22,-34.72,-40.3,-36.36,-43.46,-34.56,-47.5,-39.98,-43.18,-37.54,-38.22,-60.24,-40.82,-39.8,-38.02,-35.52,-38.5,-33.98,-37.06,-40.8,-37.92,-36.46,-38.62,-46.62,-43.14,-45.16,-40.98,-34.12,-30.94,-37.06,-40.66,-33.02,-36.8,-38.78,-40,-36.9,-37.26,-40.06,-38.58
P16,Capacity Constraints in Hours,R001,Spice Grinder A1,-63.42,-54.92,-59.18,-52.3,-54.18,-62.18,-50.96,-58.3,-55.02,-53.34,-56.1,-70.64,-62,-56.6,-59.56,-56.76,-51.94,-64.62,-50,-64.76,-59.88,-60.5,-55.66,-60.78,-61.44,-46.62,-60.1,-57.32,-53.6,-51.52,-59.4,-52.58,-42.74,-49.98,-48.92,-58.46,-54.36,-51.18,-44.44,-47.76,-62.8,-48.98,-46.02,-50.56,-51.4,-50.32,-46.88,-41.2,-48.42,-50.82,-52.08,-52.52
P14,Capacity Constraints in Hours,R001,Spice Grinder A1,-53.08,-46.22,-53.98,-48.08,-49.9,-48.1,-51.04,-47.44,-58.18,-49.4,-53.68,-64.4,-55.86,-53.6,-52.94,-50.06,-50.24,-61.4,-58.68,-56.78,-57.8,-56.96,-61.22,-59.08,-58.6,-57.42,-61.56,-47,-44.7,-46.04,-54.94,-49.58,-51.08,-54.24,-55.76,-47.8,-53.72,-45.1,-45.62,-56.88,-40.2,-45.02,-47.7,-61.36,-51.24,-51.66,-52.16,-57.54,-55.68,-68.04,-47.74,-50.38
P17,Capacity Constraints in Hours,R001,Spice Grinder A1,-53.86,-47.76,-53.18,-46.36,-60.94,-59.74,-60.28,-54.14,-70.92,-68.82,-50.42,-55.98,-50.74,-62.28,-58.96,-54.1,-51.04,-59.74,-63.96,-61.12,-53.06,-51.5,-63.16,-51.54,-62.58,-50.14,-53.78,-49.88,-64.16,-48.28,-53.28,-51.7,-63.54,-67.24,-64.36,-51.78,-52.28,-47.9,-51.44,-53.94,-47.92,-50.98,-52.22,-51.1,-50.76,-54.72,-49.96,-52.96,-53.1,-44.98,-60.06,-56.72
P01,Capacity Constraints in Hours,R002,Blending Machine A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06,Capacity Constraints in Hours,R002,Blending Machine A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08,Capacity Constraints in Hours,R002,Blending Machine A1,-19.156120092378735,0,0,0,-10.272786759045403,-19.6727867590454,-32.28945342571208,-17.006120092378737,-13.406120092378735,-13.806120092378748,-12.706120092378733,-19.03945342571206,-17.272786759045403,-23.78945342571206,-2.5394534257120682,-13.356120092378738,-23.122786759045397,-6.656120092378735,-8.839453425712058,-9.5727867590454,-6.539453425712075,-13.739453425712064,-25.122786759045404,-10.622786759045404,-14.25612009237873,-25.072786759045393,-23.339453425712065,-13.772786759045403,-10.68945342571206,-7.9561200923787325,-8.972786759045398,-22.3227867590454,-4.839453425712065,-0.48945342571207107,0,-1.872786759045404,-10.406120092378735,0,-18.23945342571207,-10.38945342571207,-0.8394534257120725,-4.556120092378741,-8.139453425712063,-1.7061200923787396,0,-1.7227867590454053,-24.73945342571207,-1.5061200923787368,-9.622786759045411,-11.456120092378733,-17.272786759045403,-28.272786759045403
P01,Capacity Constraints in Hours,R003,Packaging Line A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06,Capacity Constraints in Hours,R003,Packaging Line A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08,Capacity Constraints in Hours,R003,Packaging Line A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P02,Capacity Constraints in Hours,R004,Spice Grinder B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03,Capacity Constraints in Hours,R004,Spice Grinder B1,0,0,0,-5.135034642032352,-18.710034642032348,0,0,-5.3350346420323405,-6.385034642032345,-2.0850346420323405,-6.960034642032348,-5.985034642032339,-12.610034642032346,-11.33503464203234,-4.9600346420323405,-11.085034642032348,0,-1.7850346420323433,-22.46003464203234,-16.885034642032338,-5.510034642032345,-18.08503464203234,-9.185034642032342,0,-10.21003464203234,-16.410034642032343,-1.1350346420323518,0,-2.3850346420323376,-2.860034642032346,0,-9.385034642032352,0,0,-6.510034642032352,0,0,-4.610034642032346,0,0,0,0,-6.41003464203235,-17.535034642032343,-1.3350346420323405,0,-6.860034642032339,-21.510034642032352,-8.735034642032339,0,0,-5.960034642032348
P04,Capacity Constraints in Hours,R004,Spice Grinder B1,-67.73503464203233,-54.085034642032355,-53.61003464203233,-50.525,-81.775,-54.21003464203234,-67.81003464203235,-56.8,-53.975,-49.55,-49.65,-53.85,-54.7,-73.4,-82.4,-54.525,-52.78503464203234,-52.125,-47.575,-49,-60.9,-72.025,-50.45,-47.18503464203234,-48.45,-63.575,-55.25,-52.03503464203235,-51.525,-62.875,-36.21003464203235,-47.6,-42.635034642032345,-52.71003464203235,-50.975,-48.435034642032356,-63.735034642032346,-54.825,-50.16003464203234,-41.03503464203235,-35.935034642032356,-41.510034642032345,-64.225,-56.775,-56.1,-43.16003464203234,-51.4,-57.3,-63.35,-50.28503464203235,-46.01003464203233,-71.725
P02,Capacity Constraints in Hours,R005,Blending Machine B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03,Capacity Constraints in Hours,R005,Blending Machine B1,0,0,0,0,-6.886661534513735,0,0,0,0,0,0,0,-1.4644393122915034,-0.3311059789581705,0,-0.10888375673594908,0,0,-10.219994867847063,-5.264439312291515,0,-6.331105978958163,0,0,0,-4.842217090069276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.842217090069283,0,0,0,-9.375550423402622,0,0,0,0
P04,Capacity Constraints in Hours,R005,Blending Machine B1,-50.46443931229151,-38.33110597895818,-37.908883756735946,-39.73110597895818,-72.68888888888888,-38.44221709006927,-50.531105978958166,-45.486661534513736,-43.90888375673593,-36.15332820118039,-40.57555042340261,-43.442217090069285,-48.62222222222222,-65.24444444444444,-67.90888375673595,-48.46666666666667,-37.17555042340261,-38.17555042340262,-42.28888888888889,-43.55555555555556,-49.28666153451373,-64.02222222222223,-43.26443931229151,-32.197772645624845,-42.39777264562483,-56.51111111111111,-40.375550423402615,-36.508883756735955,-38.17555042340261,-48.68666153451372,-22.442217090069292,-40.90888375673595,-28.153328201180393,-37.10888375673594,-41.35332820118041,-33.308883756735945,-46.908883756735946,-43.08666153451372,-34.84221709006928,-26.73110597895817,-22.19777264562483,-27.1533282011804,-53.042217090069286,-50.46666666666667,-41.308883756735945,-28.619994867847055,-42.04221709006928,-50.93333333333333,-54.33110597895817,-34.9533282011804,-31.153328201180393,-59.308883756735945
P02,Capacity Constraints in Hours,R006,Packaging Line B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P03,Capacity Constraints in Hours,R006,Packaging Line B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04,Capacity Constraints in Hours,R006,Packaging Line B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05,Capacity Constraints in Hours,R007,Spice Grinder C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07,Capacity Constraints in Hours,R007,Spice Grinder C1,-5.378488947542053,-25.2356318046849,-25.7213460903992,-10.464203233256342,-15.949917518970636,-23.57848894754204,-27.06420323325635,-15.292774661827764,-23.921346090399197,-16.89277466182778,-27.892774661827772,-24.63563180468492,-8.54991751897063,-26.74991751897062,-36.37848894754205,-37.17848894754205,-23.60706037611348,-17.235631804684914,-13.035631804684911,-20.492774661827767,-12.1213460903992,-15.54991751897063,-20.264203233256353,-6.149917518970625,-29.892774661827772,-13.607060376113488,-2.3499175189706136,-8.521346090399206,-22.349917518970642,-6.035631804684911,-23.149917518970625,-7.464203233256342,-8.092774661827761,-2.064203233256336,-3.0642032332563502,-9.749917518970634,-2.064203233256336,-9.921346090399197,0,0,-7.664203233256345,-4.921346090399197,-11.007060376113486,0,-6.149917518970625,-0.6070603761134805,0,-13.664203233256345,-6.978488947542047,-18.378488947542053,-28.17848894754205,-8.092774661827761
P09,Capacity Constraints in Hours,R007,Spice Grinder C1,-92.6,-76.42857142857143,-86.57142857142857,-94.68571428571428,-86.68571428571428,-110.45714285714286,-92.57142857142857,-118.97142857142858,-100.2,-123.48571428571428,-94.91428571428571,-97.28571428571429,-90.34285714285714,-104.51428571428572,-92.8,-121.51428571428572,-118.91428571428571,-78.71428571428571,-101.05714285714286,-123.97142857142858,-99.28571428571429,-102.97142857142858,-106.74285714285715,-108,-116.22857142857143,-105.34285714285714,-93.57142857142857,-90.34285714285714,-86.74285714285715,-107.74285714285715,-77.82857142857142,-73.2,-93.57142857142857,-87.45714285714286,-120,-91.65714285714286,-93.02857142857142,-80.48571428571428,-78.9213460903992,-74.69277466182776,-104.02857142857142,-96.4,-85.77142857142857,-64.23563180468491,-91.4,-115.51428571428572,-119.40706037611349,-99.77142857142857,-108,-108.14285714285714,-108.71428571428571,-132.4
P05,Capacity Constraints in Hours,R008,Blending Machine C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07,Capacity Constraints in Hours,R008,Blending Machine C1,0,-10.667944572748283,-11.09294457274828,0,-2.542944572748283,-9.21794457274828,-12.267944572748284,-1.96794457274828,-9.517944572748277,-3.3679445727482857,-12.992944572748293,-10.142944572748277,0,-11.992944572748286,-20.417944572748283,-21.117944572748286,-9.242944572748286,-3.667944572748283,0,-6.517944572748277,0,-2.1929445727482886,-6.3179445727482815,0,-14.742944572748286,-0.49294457274828574,0,0,-8.142944572748291,0,-8.842944572748287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5429445727482829,0,-4.667944572748297,-13.242944572748286,0
P09,Capacity Constraints in Hours,R008,Blending Machine C1,-74.31794457274829,-66.875,-75.75,-80.59294457274828,-75.85,-96.65,-81,-104.1,-87.675,-108.05,-83.05,-85.125,-75.11794457274829,-91.45,-81.2,-106.325,-104.05,-68.875,-88.41794457274828,-108.475,-86.06794457274829,-90.1,-93.4,-88.46794457274828,-101.7,-92.175,-72.51794457274829,-75.09294457274828,-75.9,-88.14294457274829,-68.1,-59.16794457274828,-77.54294457274828,-66.9179445727483,-96.26794457274829,-77.31794457274829,-71.7929445727483,-67.69294457274827,-57.64294457274829,-53.94294457274829,-86.3179445727483,-77.24294457274829,-73.26794457274828,-44.79294457274828,-73.94294457274827,-90.19294457274829,-93.06794457274829,-87.3,-89.19294457274829,-94.625,-95.125,-111.51794457274828
P05,Capacity Constraints in Hours,R009,Packaging Line C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07,Capacity Constraints in Hours,R009,Packaging Line C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
